language,projects
C,"[{'name': 'multi-hashing', 'dependent_repositories_count': 207, 'repository_stars_count': 40}, {'name': 'github.com/ethereum/ethash', 'dependent_repositories_count': 123, 'repository_stars_count': 80}, {'name': 'zlib', 'dependent_repositories_count': 107, 'repository_stars_count': 6}]"
C#,"[{'name': 'ClientDependency', 'dependent_repositories_count': 793, 'repository_stars_count': 115}, {'name': 'Examine', 'dependent_repositories_count': 665, 'repository_stars_count': 123}, {'name': 'ClientDependency-Mvc', 'dependent_repositories_count': 394, 'repository_stars_count': 115}]"
C++,"[{'name': 'execsync', 'dependent_repositories_count': 362, 'repository_stars_count': 7}, {'name': 'segfault-handler', 'dependent_repositories_count': 113, 'repository_stars_count': 171}, {'name': 'discount', 'dependent_repositories_count': 25, 'repository_stars_count': 76}]"
CSS,"[{'name': 'anjlab-bootstrap-rails', 'dependent_repositories_count': 826, 'repository_stars_count': 770}, {'name': 'sassy-math', 'dependent_repositories_count': 444, 'repository_stars_count': 165}, {'name': 'compass-normalize', 'dependent_repositories_count': 348, 'repository_stars_count': 190}]"
HTML,"[{'name': 'app-route', 'dependent_repositories_count': 1418, 'repository_stars_count': 0}, {'name': 'paper-card', 'dependent_repositories_count': 764, 'repository_stars_count': 0}, {'name': 'foundation-icon-fonts', 'dependent_repositories_count': 327, 'repository_stars_count': 98}]"
Java,"[{'name': 'com.cocosw:bottomsheet', 'dependent_repositories_count': 127, 'repository_stars_count': 2030}, {'name': 'com.barchart.udt:barchart-udt-bundle', 'dependent_repositories_count': 86, 'repository_stars_count': 100}, {'name': 'jgeoip', 'dependent_repositories_count': 60, 'repository_stars_count': 10}]"
JavaScript,"[{'name': 'tinycolor', 'dependent_repositories_count': 2137, 'repository_stars_count': 16}, {'name': 'jQuery-Storage-API', 'dependent_repositories_count': 1445, 'repository_stars_count': 306}, {'name': 'only', 'dependent_repositories_count': 1374, 'repository_stars_count': 74}]"
PHP,"[{'name': 'illuminate/queue', 'dependent_repositories_count': 2335, 'repository_stars_count': 82}, {'name': 'illuminate/encryption', 'dependent_repositories_count': 2185, 'repository_stars_count': 41}, {'name': 'illuminate/hashing', 'dependent_repositories_count': 2090, 'repository_stars_count': 16}]"
Python,"[{'name': 'devpi-client', 'dependent_repositories_count': 55, 'repository_stars_count': 93}, {'name': 'vega-datasets', 'dependent_repositories_count': 46, 'repository_stars_count': 25}, {'name': 'create', 'dependent_repositories_count': 43, 'repository_stars_count': 0}]"
Ruby,"[{'name': 'ruby-hmac', 'dependent_repositories_count': 5207, 'repository_stars_count': 41}, {'name': 'gherkin-ruby', 'dependent_repositories_count': 2374, 'repository_stars_count': 30}, {'name': 'MACAddr', 'dependent_repositories_count': 1892, 'repository_stars_count': 2}]"
