language,projects
C,"[{'name': 'libressl-pnacl-sys', 'dependent_repositories_count': 986, 'repository_stars_count': 4}, {'name': 'python-Levenshtein', 'dependent_repositories_count': 387, 'repository_stars_count': 396}, {'name': 'yaml', 'dependent_repositories_count': 386, 'repository_stars_count': 47}]"
C#,"[{'name': 'reactiveui', 'dependent_repositories_count': 392, 'repository_stars_count': 9}, {'name': 'Acr.Support', 'dependent_repositories_count': 341, 'repository_stars_count': 1}, {'name': 'ncrontab', 'dependent_repositories_count': 168, 'repository_stars_count': 159}]"
C++,"[{'name': 'sasl', 'dependent_repositories_count': 59, 'repository_stars_count': 4}, {'name': 'libxmljs-mt', 'dependent_repositories_count': 17, 'repository_stars_count': 4}, {'name': 'mecab-python3', 'dependent_repositories_count': 16, 'repository_stars_count': 58}]"
CSS,"[{'name': 'jekyll-theme-primer', 'dependent_repositories_count': 3054, 'repository_stars_count': 25}, {'name': 'bootstrap-colorpicker', 'dependent_repositories_count': 274, 'repository_stars_count': 0}, {'name': 'basscss-type-scale', 'dependent_repositories_count': 180, 'repository_stars_count': 0}]"
HTML,"[{'name': 'chromedriver-helper', 'dependent_repositories_count': 811, 'repository_stars_count': 203}, {'name': 'fuel/docs', 'dependent_repositories_count': 311, 'repository_stars_count': 166}, {'name': 'org.jboss.shrinkwrap.descriptors:shrinkwrap-descriptors-impl-javaee', 'dependent_repositories_count': 103, 'repository_stars_count': 26}]"
Java,"[{'name': 'log4j:log4j', 'dependent_repositories_count': 85282, 'repository_stars_count': None}, {'name': 'org.apache.velocity:velocity', 'dependent_repositories_count': 7625, 'repository_stars_count': None}, {'name': 'org.liquibase:liquibase-core', 'dependent_repositories_count': 3789, 'repository_stars_count': 1369}]"
JavaScript,"[{'name': 'dom-serializer', 'dependent_repositories_count': 91717, 'repository_stars_count': 19}, {'name': 'base', 'dependent_repositories_count': 33610, 'repository_stars_count': None}, {'name': 'eslint-scope', 'dependent_repositories_count': 19997, 'repository_stars_count': 14}]"
PHP,"[{'name': 'symfony/swiftmailer-bundle', 'dependent_repositories_count': 24130, 'repository_stars_count': 392}, {'name': 'illuminate/support', 'dependent_repositories_count': 23394, 'repository_stars_count': 195}, {'name': 'psr/simple-cache', 'dependent_repositories_count': 11104, 'repository_stars_count': 2282}]"
Python,"[{'name': 'wheel', 'dependent_repositories_count': 23125, 'repository_stars_count': 50}, {'name': 'Pygments', 'dependent_repositories_count': 20304, 'repository_stars_count': None}, {'name': 'polib', 'dependent_repositories_count': 1063, 'repository_stars_count': None}]"
Ruby,"[{'name': 'rack-mount', 'dependent_repositories_count': 28665, 'repository_stars_count': 196}, {'name': 'shellany', 'dependent_repositories_count': 15487, 'repository_stars_count': 8}, {'name': 'jekyll-seo-tag', 'dependent_repositories_count': 10016, 'repository_stars_count': 623}]"
