language,projects
C,"[{'name': 'rdiscount', 'dependent_repositories_count': 18594, 'repository_stars_count': 770}, {'name': 'debugger', 'dependent_repositories_count': 12885, 'repository_stars_count': 885}, {'name': 'debugger-ruby_core_source', 'dependent_repositories_count': 10740, 'repository_stars_count': 20}]"
C#,"[{'name': 'Antlr', 'dependent_repositories_count': 46695, 'repository_stars_count': 121}, {'name': 'Owin', 'dependent_repositories_count': 28174, 'repository_stars_count': 23}, {'name': 'log4net', 'dependent_repositories_count': 9619, 'repository_stars_count': 429}]"
C++,"[{'name': 'therubyracer', 'dependent_repositories_count': 46461, 'repository_stars_count': 1540}, {'name': 'kerberos', 'dependent_repositories_count': 3177, 'repository_stars_count': 74}, {'name': 'weak', 'dependent_repositories_count': 2142, 'repository_stars_count': 184}]"
CSS,"[{'name': 'compass', 'dependent_repositories_count': 27176, 'repository_stars_count': 6937}, {'name': 'css', 'dependent_repositories_count': 25540, 'repository_stars_count': 897}, {'name': 'compass-import-once', 'dependent_repositories_count': 11647, 'repository_stars_count': 6937}]"
HTML,"[{'name': 'cssesc', 'dependent_repositories_count': 84597, 'repository_stars_count': 44}, {'name': 'is-plain-object', 'dependent_repositories_count': 51010, 'repository_stars_count': 36}, {'name': 'fssm', 'dependent_repositories_count': 12116, 'repository_stars_count': 357}]"
Java,"[{'name': 'thread_safe', 'dependent_repositories_count': 336322, 'repository_stars_count': 191}, {'name': 'bindex', 'dependent_repositories_count': 21132, 'repository_stars_count': 6}, {'name': 'commons-collections:commons-collections', 'dependent_repositories_count': 19747, 'repository_stars_count': 1}]"
JavaScript,"[{'name': 'ansi-regex', 'dependent_repositories_count': 296978, 'repository_stars_count': 49}, {'name': 'balanced-match', 'dependent_repositories_count': 260969, 'repository_stars_count': 49}, {'name': 'arr-diff', 'dependent_repositories_count': 249079, 'repository_stars_count': 17}]"
PHP,"[{'name': 'symfony/finder', 'dependent_repositories_count': 67366, 'repository_stars_count': 906}, {'name': 'symfony/css-selector', 'dependent_repositories_count': 59766, 'repository_stars_count': 712}, {'name': 'paragonie/random_compat', 'dependent_repositories_count': 54031, 'repository_stars_count': 1850}]"
Python,"[{'name': 'MarkupSafe', 'dependent_repositories_count': 47304, 'repository_stars_count': 202}, {'name': 'itsdangerous', 'dependent_repositories_count': 33120, 'repository_stars_count': 1349}, {'name': 'crc', 'dependent_repositories_count': 27615, 'repository_stars_count': 170}]"
Ruby,"[{'name': 'builder', 'dependent_repositories_count': 418087, 'repository_stars_count': 267}, {'name': 'mime-types', 'dependent_repositories_count': 406753, 'repository_stars_count': 243}, {'name': 'sass-rails', 'dependent_repositories_count': 382725, 'repository_stars_count': 737}]"
