language,projects
C,"[{'name': 'libressl-pnacl-sys', 'dependent_repositories_count': 986, 'repository_stars_count': 4}, {'name': 'unicode', 'dependent_repositories_count': 630, 'repository_stars_count': 70}, {'name': 'boost', 'dependent_repositories_count': 465, 'repository_stars_count': 15}]"
C#,"[{'name': 'Owin', 'dependent_repositories_count': 28174, 'repository_stars_count': 23}, {'name': 'log4net', 'dependent_repositories_count': 9619, 'repository_stars_count': 429}, {'name': 'MahApps.Metro.Resources', 'dependent_repositories_count': 720, 'repository_stars_count': 8}]"
C++,"[{'name': 'zlib', 'dependent_repositories_count': 232, 'repository_stars_count': 35}, {'name': 'windows-mutex', 'dependent_repositories_count': 187, 'repository_stars_count': 5}, {'name': 'epoll', 'dependent_repositories_count': 108, 'repository_stars_count': 29}]"
CSS,"[{'name': 'colorbrewer', 'dependent_repositories_count': 1010, 'repository_stars_count': 5}, {'name': 'grunt-combine-media-queries', 'dependent_repositories_count': 647, 'repository_stars_count': 37}, {'name': 'datatables.net-bs', 'dependent_repositories_count': 641, 'repository_stars_count': 10}]"
HTML,"[{'name': 'app-route', 'dependent_repositories_count': 1418, 'repository_stars_count': 0}, {'name': 'paper-card', 'dependent_repositories_count': 764, 'repository_stars_count': 0}, {'name': 'octopress-date-format', 'dependent_repositories_count': 668, 'repository_stars_count': 15}]"
Java,"[{'name': 'bindex', 'dependent_repositories_count': 21132, 'repository_stars_count': 6}, {'name': 'javax.cache:cache-api', 'dependent_repositories_count': 2424, 'repository_stars_count': 1}, {'name': 'javax.faces:jsf-api', 'dependent_repositories_count': 1161, 'repository_stars_count': 10}]"
JavaScript,"[{'name': 'concat-map', 'dependent_repositories_count': 235444, 'repository_stars_count': 18}, {'name': 'asynckit', 'dependent_repositories_count': 227865, 'repository_stars_count': 5}, {'name': 'depd', 'dependent_repositories_count': 180289, 'repository_stars_count': 213}]"
PHP,"[{'name': 'sebastian/resource-operations', 'dependent_repositories_count': 8691, 'repository_stars_count': 607}, {'name': 'sebastian/code-unit-reverse-lookup', 'dependent_repositories_count': 8078, 'repository_stars_count': 610}, {'name': 'psr/link', 'dependent_repositories_count': 1918, 'repository_stars_count': 178}]"
Python,"[{'name': 'PyYAML', 'dependent_repositories_count': 37771, 'repository_stars_count': 330}, {'name': 'argparse', 'dependent_repositories_count': 23370, 'repository_stars_count': 14}, {'name': 'appnope', 'dependent_repositories_count': 3560, 'repository_stars_count': 19}]"
Ruby,"[{'name': 'erubis', 'dependent_repositories_count': 380637, 'repository_stars_count': 43}, {'name': 'sexp_processor', 'dependent_repositories_count': 16771, 'repository_stars_count': 62}, {'name': 'guard-compat', 'dependent_repositories_count': 11708, 'repository_stars_count': 2}]"
